tweet,token
direktur jenderal badan kesehatan dunia who menyatakan dunia mengalami kekurangan peralatan kesehatan terutama negara miskin paling miskin dunia peralatan medis mengalami kekurangan pasokan masker vaksin obat obatan,"['direktur', 'jenderal', 'badan', 'kesehatan', 'dunia', 'who', 'menyatakan', 'dunia', 'mengalami', 'kekurangan', 'peralatan', 'kesehatan', 'terutama', 'negara', 'miskin', 'paling', 'miskin', 'dunia', 'peralatan', 'medis', 'mengalami', 'kekurangan', 'pasokan', 'masker', 'vaksin', 'obat', 'obatan']"
semua negara dunia menyerukan pentingnya imunisasi bahkan semua agama sama jangan pertaruhkan anak,"['semua', 'negara', 'dunia', 'menyerukan', 'pentingnya', 'imunisasi', 'bahkan', 'semua', 'agama', 'sama', 'jangan', 'pertaruhkan', 'anak']"
kirain tak ngefek vaksin pertama baik saudara pd vaksin ane malah terakhir vaksin mo pergi jakarta,"['kirain', 'tak', 'ngefek', 'vaksin', 'pertama', 'baik', 'saudara', 'pd', 'vaksin', 'ane', 'malah', 'terakhir', 'vaksin', 'mo', 'pergi', 'jakarta']"
sebelumnya dikira demam berdarah bintik paha senin vaksin sabtu muncul bintik cek darah trombosit baik rabu balik dokter tambah banyak telapak kaki perih sakit buat jalan cek darah trombosit baik dirujuk dokter penyakit terus dokter kulit,"['sebelumnya', 'dikira', 'demam', 'berdarah', 'bintik', 'paha', 'senin', 'vaksin', 'sabtu', 'muncul', 'bintik', 'cek', 'darah', 'trombosit', 'baik', 'rabu', 'balik', 'dokter', 'tambah', 'banyak', 'telapak', 'kaki', 'perih', 'sakit', 'buat', 'jalan', 'cek', 'darah', 'trombosit', 'baik', 'dirujuk', 'dokter', 'penyakit', 'terus', 'dokter', 'kulit']"
gejala timbul hari vaksin gak langsung,"['gejala', 'timbul', 'hari', 'vaksin', 'gak', 'langsung']"
rail clinic stasiun delanggu klaten vaksin hingga bagikan sembako,"['rail', 'clinic', 'stasiun', 'delanggu', 'klaten', 'vaksin', 'hingga', 'bagikan', 'sembako']"
soll info vaksin boster dong makasih,"['soll', 'info', 'vaksin', 'boster', 'dong', 'makasih']"
fess guyss info vaksin booster uns dong butuh banget buat segeraa makasii,"['fess', 'guyss', 'info', 'vaksin', 'booster', 'uns', 'dong', 'butuh', 'banget', 'buat', 'segeraa', 'makasii']"
hasil studi sebut faringitis jadi gejala utama covid vaksin,"['hasil', 'studi', 'sebut', 'faringitis', 'jadi', 'gejala', 'utama', 'covid', 'vaksin']"
tiap orang kan daya tahan tubuh imun vaksin pertama kedua beda merk kata dokter gitu,"['tiap', 'orang', 'kan', 'daya', 'tahan', 'tubuh', 'imun', 'vaksin', 'pertama', 'kedua', 'beda', 'merk', 'kata', 'dokter', 'gitu']"
hmm yg dimasalahin disini bkn gk bs explore hobi tp perempuan ideal gk si berpenghasilan bekerja jadi i asisten loh kerjanya jam buat ibu yg biasa kerja lalu tb jd isgt mungkin jd burn out yg hadepin cm sebidang kotak rumah amp org nya,"['hmm', 'yg', 'dimasalahin', 'disini', 'bkn', 'gk', 'bs', 'explore', 'hobi', 'tp', 'perempuan', 'ideal', 'gk', 'si', 'berpenghasilan', 'bekerja', 'jadi', 'i', 'asisten', 'loh', 'kerjanya', 'jam', 'buat', 'ibu', 'yg', 'biasa', 'kerja', 'lalu', 'tb', 'jd', 'isgt', 'mungkin', 'jd', 'burn', 'out', 'yg', 'hadepin', 'cm', 'sebidang', 'kotak', 'rumah', 'amp', 'org', 'nya']"
